m,cov_bin,obs_clust_weight,exp_clust_weight,exp_std_dev,z_score
3,0.00892857142857143,1,0.044136460554371,0.208220352140494,4.5906345350942
11,0.0327380952380952,8,0.809168443496802,0.880674220587115,8.16514369151094
15,0.0446428571428571,10,1.54477611940298,1.20924787583506,6.99213457353247
22,0.0654761904761905,19,3.39850746268657,1.77376800014922,8.79567820368896
23,0.068452380952381,19,3.72217484008529,1.85332851055157,8.24345229296012
24,0.0714285714285714,22,4.06055437100213,1.93261697983575,9.28246301060776
25,0.0744047619047619,23,4.4136460554371,2.01163299363918,9.23943582320101
29,0.0863095238095238,28,5.97313432835821,2.32496292775762,9.47407178353862
31,0.0922619047619048,36,6.84115138592751,2.47997996734759,11.7576952225379
33,0.0982142857142857,38,7.7680170575693,2.63389222474166,11.4780637789369
37,0.110119047619048,43,9.79829424307036,2.93838249264505,11.2993137687267
38,0.113095238095238,44,10.3426439232409,3.01380664914783,11.1677224171882
40,0.119047619047619,48,11.4754797441365,3.16381218844388,11.5444653729045
41,0.12202380952381,50,12.0639658848614,3.23839219991456,11.7144656277703
42,0.125,51,12.6671641791045,3.3126894454249,11.5715150642437
43,0.12797619047619,57,13.2850746268657,3.38670322029075,12.907811086376
46,0.136904761904762,62,15.227078891258,3.60703656762676,12.9671325011035
48,0.142857142857143,63,16.5953091684435,3.75249487808086,12.3663568743602
49,0.145833333333333,67,17.3014925373134,3.82479263992225,12.9937782623679
50,0.148809523809524,69,18.0223880597015,3.89680180554775,13.0819103675541
51,0.151785714285714,73,18.7579957356077,3.96852161641996,13.6680632001507
52,0.154761904761905,75,19.508315565032,4.0399513075878,13.7357310051594
53,0.157738095238095,78,20.2733475479744,4.11109010770667,14.0416899021043
54,0.160714285714286,82,21.053091684435,4.18193723904885,14.5738457637463
56,0.166666666666667,90,22.6567164179104,4.32275335257496,15.5787939050408
57,0.169642857142857,93,23.4805970149254,4.39272074735886,15.8260465400341
58,0.172619047619048,95,24.3191897654584,4.46239329853174,15.8392157539762
59,0.175595238095238,96,25.1724946695096,4.5317701963199,15.6291034766077
60,0.178571428571429,96,26.0405117270789,4.60085062446903,15.2057725805856
61,0.181547619047619,100,26.9232409381663,4.66963376020836,15.6493555628596
62,0.18452380952381,104,27.8206823027719,4.73811877420982,16.0779670851397
63,0.1875,104,28.7328358208955,4.80630483054374,15.6600895766716
64,0.19047619047619,104,29.6597014925373,4.87419108663065,15.2518227509319
65,0.193452380952381,106,30.6012793176972,4.94177669318945,15.2574115269543
67,0.199404761904762,107,32.5285714285714,5.07604252675818,14.6711593094138
68,0.202380952380952,108,33.5142857142857,5.14272102118907,14.4837166898258
69,0.205357142857143,108,34.5147121535181,5.20909540080928,14.1071111569708
70,0.208333333333333,109,35.5298507462687,5.27516478194789,13.9275553069267
71,0.211309523809524,111,36.5597014925373,5.34092827386061,13.9377079583311
73,0.217261904761905,113,38.663539445629,5.47153399123424,13.5860365070313
74,0.220238095238095,115,39.737526652452,5.5363743991877,13.5941805811743
75,0.223214285714286,118,40.8262260127932,5.6009052827469,13.7788036203601
76,0.226190476190476,121,41.9296375266524,5.66512571468873,13.9573888481117
77,0.229166666666667,123,43.0477611940298,5.72903476025674,13.9556211738515
78,0.232142857142857,125,44.1805970149254,5.79263147707687,13.9521050674293
79,0.235119047619048,126,45.328144989339,5.8559149150716,13.7761316857649
80,0.238095238095238,127,46.4904051172708,5.91888411637122,13.6021576533396
81,0.241071428571429,131,47.6673773987207,5.98153811522399,13.9316378155619
82,0.244047619047619,131,48.8590618336887,6.04387593790373,13.5907717183886
83,0.24702380952381,132,50.0654584221748,6.10589660261532,13.4189205796132
84,0.25,135,51.2865671641791,6.16759911939857,13.5730989020545
85,0.25297619047619,139,52.5223880597015,6.22898249002996,13.8831040348425
86,0.255952380952381,145,53.772921108742,6.29004570792193,14.5034047648275
87,0.258928571428571,145,55.0381663113006,6.35078775802071,14.1654605879534
88,0.261904761904762,145,56.3181236673774,6.41120761670169,13.832320154724
89,0.264880952380952,147,57.6127931769723,6.47130425166301,13.812858018545
90,0.267857142857143,150,58.9221748400853,6.53107662181637,13.9453003591596
91,0.270833333333333,154,60.2462686567164,6.59052367717695,14.2255359263716
92,0.273809523809524,155,61.5850746268657,6.64964435874961,14.0481084902261
94,0.279761904761905,159,64.3068230277186,6.76690231880882,13.9935782298909
95,0.282738095238095,163,65.6897654584222,6.8250374332082,14.2578316227397
96,0.285714285714286,168,67.0874200426439,6.88284184540369,14.6614701055124
97,0.288690476190476,171,68.4997867803838,6.94031444957818,14.7688140017699
98,0.291666666666667,175,69.9268656716418,6.9974541301797,15.0159089825516
