m,cov_bin,observed,expected,z_score
3,0.00892857142857143,2,0.455357142857143,2.49286924237881
11,0.0327380952380952,5,1.66964285714286,2.84123364575325
15,0.0446428571428571,6,2.27678571428571,2.73699528609168
22,0.0654761904761905,8,3.33928571428571,2.86042443118521
23,0.068452380952381,8,3.49107142857143,2.71076226550658
24,0.0714285714285714,8,3.64285714285714,2.5684614058379
25,0.0744047619047619,8,3.79464285714286,2.43280247220249
29,0.0863095238095238,10,4.40178571428571,3.0264638746424
31,0.0922619047619048,11,4.70535714285714,3.30213246189882
33,0.0982142857142857,11,5.00892857142857,3.05619018160314
37,0.110119047619048,12,5.61607142857143,3.09603403152191
38,0.113095238095238,12,5.76785714285714,2.98738800213748
40,0.119047619047619,12,6.07142857142857,2.77925482536584
41,0.12202380952381,13,6.22321428571429,3.14322145145643
42,0.125,13,6.375,3.0411772642817
43,0.12797619047619,14,6.52678571428571,3.39620236609346
46,0.136904761904762,14,6.98214285714286,3.09942242860242
48,0.142857142857143,14,7.28571428571429,2.91297742006932
49,0.145833333333333,15,7.4375,3.25297377542772
50,0.148809523809524,16,7.58928571428571,3.58772398699674
51,0.151785714285714,17,7.74107142857143,3.91748532730214
52,0.154761904761905,18,7.89285714285714,4.24249877115887
53,0.157738095238095,18,8.04464285714286,4.14648267376808
54,0.160714285714286,18,8.19642857142857,4.05244422491347
56,0.166666666666667,19,8.5,4.27730710110365
57,0.169642857142857,19,8.65178571428572,4.18581516108802
58,0.172619047619048,19,8.80357142857143,4.09605565864632
59,0.175595238095238,19,8.95535714285714,4.00795440482483
60,0.178571428571429,19,9.10714285714286,3.92144144362342
61,0.181547619047619,19,9.25892857142857,3.8364507410439
62,0.18452380952381,19,9.41071428571429,3.75291990163974
63,0.1875,19,9.5625,3.6707899097314
64,0.19047619047619,19,9.71428571428571,3.590004892784
65,0.193452380952381,19,9.86607142857143,3.51051190473281
67,0.199404761904762,19,10.1696428571429,3.35520368751763
68,0.202380952380952,20,10.3214285714286,3.65715669876013
69,0.205357142857143,20,10.4732142857143,3.58030795580347
70,0.208333333333333,20,10.625,3.50457695567664
71,0.211309523809524,20,10.7767857142857,3.42992284134463
73,0.217261904761905,20,11.0803571428571,3.28369131351524
74,0.220238095238095,20,11.2321428571429,3.21204131259685
75,0.223214285714286,21,11.3839285714286,3.505911573877
76,0.226190476190476,21,11.5357142857143,3.4343814941671
77,0.229166666666667,21,11.6875,3.36376156543109
78,0.232142857142857,21,11.8392857142857,3.29402087168619
79,0.235119047619048,21,11.9910714285714,3.22512980727855
80,0.238095238095238,21,12.1428571428571,3.15706000319555
81,0.241071428571429,21,12.2946428571429,3.08978425834569
82,0.244047619047619,21,12.4464285714286,3.02327647541265
83,0.24702380952381,21,12.5982142857143,2.95751160092614
84,0.25,21,12.75,2.8924655692235
85,0.25297619047619,21,12.9017857142857,2.82811525000521
86,0.255952380952381,22,13.0535714285714,3.11232278203518
87,0.258928571428571,22,13.2053571428571,3.04798672255138
88,0.261904761904762,22,13.3571428571429,2.98431265810844
89,0.264880952380952,22,13.5089285714286,2.92127994465608
90,0.267857142857143,22,13.6607142857143,2.85886868869247
91,0.270833333333333,22,13.8125,2.79705970984658
92,0.273809523809524,22,13.9642857142857,2.73583450567057
94,0.279761904761905,22,14.2678571428571,2.61506460415429
95,0.282738095238095,22,14.4196428571429,2.55548600260322
96,0.285714285714286,22,14.5714285714286,2.49642331005085
97,0.288690476190476,22,14.7232142857143,2.43786095275354
98,0.291666666666667,23,14.875,2.7137886148033
99,0.294642857142857,23,15.0267857142857,2.65519137566464
100,0.297619047619048,23,15.1785714285714,2.59707352427428
101,0.300595238095238,24,15.3303571428571,2.8705211564013
102,0.303571428571429,24,15.4821428571429,2.8123961860186
103,0.306547619047619,24,15.6339285714286,2.75473075824633
104,0.30952380952381,25,15.7857142857143,3.02590420851045
105,0.3125,25,15.9375,2.96825728901171
106,0.31547619047619,25,16.0892857142857,2.91105111212003
107,0.318452380952381,25,16.2410714285714,2.85427305406201
108,0.321428571428571,26,16.3928571428571,3.12297933350849
109,0.324404761904762,27,16.5446428571429,3.39052427160782
110,0.327380952380952,28,16.6964285714286,3.6569521999897
